de_caseid,de_seqno,de_type,de_document_num,dp_type,dp_sub_type,dp_seqno,dp_deseqno_ptr,dp_dpseqno_ptr,dp_partno,dp_action_type,dp_dispositive,de_date_filed,de_date_enter,de_who_entered,initials,name,pr_type,pr_crttype
48053,5,cmp                      ,1,notice                   ,ntcrem  ,6,5,,1,,n,2021-08-18,2021-08-18T15:26:22,24419,jef ,Joanne Friedl,crt,clk
48061,8,cmp                      ,1,notice                   ,ntcrem  ,9,8,,1,,n,2021-08-18,2021-08-18T16:48:31,24419,jef ,Joanne Friedl,crt,clk
48308,4,cmp                      ,1,notice                   ,ntcrem  ,7,4,,1,,n,2021-10-15,2021-10-15T13:56:03,357909,,Laure Rakvic-Farr,aty,
48353,4,cmp                      ,1,notice                   ,ntcrem  ,7,4,,1,,n,2021-10-27,2021-10-27T14:18:33,864108,,Kevin Grzebielski,aty,
48583,7,cmp                      ,1,notice                   ,ntcrem  ,13,7,,1,,n,2021-12-16,2021-12-16T14:11:38,419178,,Pauline Toulouse,aty,
48579,4,cmp                      ,1,notice                   ,ntcrem  ,7,4,,1,,n,2021-12-16,2021-12-16T14:30:46,1557367,,Dylan Grady,aty,
48605,9,cmp                      ,1,notice                   ,ntcrem  ,10,9,,1,,n,2021-12-23,2021-12-23T15:54:15,1446149,aom ,Amos Malone,crt,clk
48631,12,cmp                      ,1,notice                   ,ntcrem  ,13,12,,1,,n,2022-01-06,2022-01-06T11:24:42,748962,,Ryan Bechard,pty,
48864,7,cmp                      ,1,notice                   ,ntcrem  ,8,7,,1,,n,2022-02-28,2022-02-28T17:04:43,24419,jef ,Joanne Friedl,crt,clk
48884,12,cmp                      ,1,notice                   ,ntcrem  ,21,12,,1,,n,2022-03-03,2022-03-03T15:01:31,1442232,,Samir Jaber,aty,
49060,6,cmp                      ,1,notice                   ,ntcrem  ,11,6,,1,,n,2022-04-04,2022-04-04T10:14:18,419178,,Pauline Toulouse,aty,
49319,3,cmp                      ,1,notice                   ,ntcrem  ,5,3,,1,,n,2022-05-27,2022-05-27T14:16:21,1294000,,Daniel Waltz,aty,
49320,3,cmp                      ,1,notice                   ,ntcrem  ,5,3,,1,,n,2022-05-27,2022-05-27T14:53:08,1163580,,Joseph Poehlmann,aty,
